Headline,RELIANCE,TCS,HDFCBANK,ICICIBANK,INFY,BHARTIARTL,ITC,SBIN,LT,MARUTI,TATAMOTORS,SUNPHARMA,AXISBANK,TITAN,TATASTEEL
"RBI Unexpectedly Cuts Repo Rate by 25bps Boosting Liquidity and Credit Growth",0,0,3.8,4.2,0,0,0.5,4.5,2.0,1.8,2.2,0,3.9,1.5,0
"Reliance Inks ₹18000Cr Strategic Green Energy & Solar Gigafactory Pact",5.5,0,0.5,0.8,0,0,0,1.0,2.8,0,0,0,0.5,0,0
"IT Giant Secures $1.4B Generative AI and Cloud Transformation Deal with Fortune 500",0,4.9,0,0,5.4,0,0,0,0,0,0,0,0,0,0
"Crude Oil Spikes 8% Above $90/bbl Amid Middle East Supply Disruptions",-3.8,0,-1.2,-1.0,0,0,0,-1.5,-1.5,-2.8,-3.2,0,-1.0,0,-1.5
"Cabinet Approves ₹15000Cr High-Speed Rail Corridor and Defense Infrastructure Project",0,0,0.8,1.0,0,0,0,1.8,6.8,0,3.5,0,0.8,0,4.2
"Auto Index Surges on Record Festive Season Vehicle Deliveries and EV Subsidies",0,0,0,0,0,0,0,0,0,4.8,5.5,0,0,0,0
"Telecom Regulatory Authority Approves Industry-Wide Tariff Hike of 18%",0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0
"US FDA Issues Zero Form 483 Observations for Key Manufacturing Facility",0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0
"FMCG Demand Rebounds with Strong Rural Volume Growth and Normal Monsoon",0,0,0,0,0,0,4.8,0,0,1.2,0,0,0,2.5,0
"Steel Ministry Imposes 12% Anti-Dumping Duty on Cheap Imported Hot-Rolled Coils",0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,7.5
"HDFC Bank & ICICI Bank Post Stellar Q2 Results with 24% Net Profit Surge",0,0,4.6,5.0,0,0,0,2.5,0,0,0,0,3.8,0,0
"Global Semiconductor Supply Shortages Hit Production Targets Across Automakers",0,0,0,0,0,0,0,0,-1.2,-3.5,-4.2,0,0,0,0
"Government Announces Major Gold Import Duty Cut Ahead of Wedding Season",0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,0
"SEBI Tightens Derivatives and F&O Regulations Curbing Retail Speculation Volume",0,0,-2.2,-1.8,0,0,0,-1.5,0,0,0,0,-2.0,0,0
"India GDP Growth Beats Consensus Estimates Accelerating to 7.8% in Latest Quarter",2.5,1.5,3.2,3.5,1.8,1.2,1.5,3.8,4.0,2.5,2.8,1.0,2.9,2.2,2.0
